operation_name,request_id,invoked_at_time,serverless_fn_start_time,enqueued_at_time,began_executing_time,finished_executing_time,serverless_fn_end_time,result_received_time,invocation_duration,preprocessing_duration,waiting_in_queue_duration,execution_duration,postprocessing_duration,return_to_client_duration,serverless_fn_duration,deployment_number,name_node_id,request_type,metadata_cache_hits,metadata_cache_misses
getBlockLocations,30dfbe99-b5b9-49d3-b6b2-07ca8459978a  ,1646931811363             ,1646931811363             ,0                         ,1646931811363             ,1646931811364             ,1646931811364             ,1646931811364             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,934  ,834  
getBlockLocations,f719f28e-0674-4413-b895-87f1aede5204  ,1646931811515             ,1646931811515             ,0                         ,1646931811515             ,1646931811516             ,1646931811517             ,1646931811517             ,0       ,0       ,0       ,1       ,1       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1034 ,934  
getBlockLocations,f996d8cc-9ed1-4da4-ac7f-323da271e9ff  ,1646931830433             ,1646931830433             ,0                         ,1646931830433             ,1646931830434             ,1646931830435             ,1646931830435             ,0       ,0       ,0       ,1       ,1       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1534 ,1434 
getBlockLocations,f69bc8e0-01cc-46c1-b71b-f4932bbb9c43  ,1646931830521             ,1646931830521             ,0                         ,1646931830521             ,1646931830523             ,1646931830523             ,1646931830523             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1592 ,1492 
getBlockLocations,e26b7613-8c17-4c7a-8e0c-964a7573a772  ,1646931806779             ,1646931806780             ,0                         ,1646931806780             ,1646931806781             ,1646931806781             ,1646931806782             ,1       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,910  ,810  
getBlockLocations,d8b6c5f8-5d19-4798-af7b-50f60e7db9be  ,1646931814936             ,1646931814937             ,0                         ,1646931814937             ,1646931814938             ,1646931814938             ,1646931814938             ,1       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1431 ,1331 
getBlockLocations,bdf11b25-d4d5-4313-b270-8b7054ce2729  ,1646931830717             ,1646931830717             ,0                         ,1646931830717             ,1646931830718             ,1646931830718             ,1646931830718             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,1712 ,1612 
getBlockLocations,aaef88dc-aeb1-4fad-9f43-20ad508cb5b6  ,1646931811699             ,1646931811699             ,0                         ,1646931811699             ,1646931811701             ,1646931811701             ,1646931811701             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1176 ,1076 
getBlockLocations,ee60ae86-cb7c-4275-af46-134007e643a3  ,1646931806853             ,1646931806853             ,0                         ,1646931806853             ,1646931806854             ,1646931806854             ,1646931806854             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,972  ,872  
getBlockLocations,db2af384-01c3-4d6d-b462-ca72f7b13df4  ,1646931810941             ,1646931810941             ,0                         ,1646931810941             ,1646931810943             ,1646931810943             ,1646931810943             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,660  ,560  
getBlockLocations,57f966bf-a99b-454c-8579-764d882b3c8f  ,1646931814789             ,1646931814789             ,0                         ,1646931814789             ,1646931814791             ,1646931814791             ,1646931814791             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1289 ,1189 
getBlockLocations,67de6d2f-acbd-4869-b1d1-aca2b405633f  ,1646931811402             ,1646931811402             ,0                         ,1646931811402             ,1646931811404             ,1646931811404             ,1646931811405             ,0       ,0       ,0       ,2       ,0       ,1       ,2       ,2  ,7990405513128397511   ,TCP   ,968  ,868  
getBlockLocations,eab1ccac-745b-49c1-b9c4-6ac54456388b  ,1646931810948             ,1646931810948             ,0                         ,1646931810948             ,1646931810949             ,1646931810949             ,1646931810950             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,666  ,566  
getBlockLocations,7410ba59-4f85-4019-86db-b405e5621256  ,1646931806873             ,1646931806873             ,0                         ,1646931806873             ,1646931806874             ,1646931806874             ,1646931806875             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,990  ,890  
