requestId,acquire_locks_start,acquire_locks_end,processing_start,processing_end,consistency_protocol_start,consistency_protocol_end,commit_start,commit_end,lock_duration,processing_duration,consistency_duration,commit_duration,consistency_preprocessing_start,consistency_preprocessing_end,consistency_preprocessing_duration,consistency_compute_ack_records_start,consistency_compute_ack_records_end,consistency_compute_ack_records_start_duration,consistency_join_deployments_start,consistency_join_deployments_end,consistency_join_deployments_duration,consistency_subscribe_ack_events_start,consistency_subscribe_ack_events_end,consistency_subscribe_ack_events_duration,consistency_write_acks_start,consistency_write_acks_end,consistency_write_acks_duration,consistency_issue_invalidations_start,consistency_issue_invalidations_end,consistency_issue_invalidations_duration,consistency_early_unsubscribe_start,consistency_early_unsubscribe_end,consistency_early_unsubscribe_duration,consistency_wait_for_acks_start,consistency_wait_for_acks_end,consistency_wait_for_acks_duration,consistency_clean_up_start,consistency_clean_up_end,consistency_clean_up_duration,transactionStart,transactionEnd,transactionId,success
UNKNOWN,1646931830717,1646931830718,1646931830718,1646931830718,1646931830718,1646931830718,1646931830718,1646931830718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830717,1646931830718,2122871525019632228,true
UNKNOWN,1646931811699,1646931811700,1646931811700,1646931811700,1646931811700,1646931811700,1646931811700,1646931811701,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811699,1646931811701,2077007400026327767,true
UNKNOWN,1646931806853,1646931806854,1646931806854,1646931806854,1646931806854,1646931806854,1646931806854,1646931806854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931806853,1646931806854,8081068338747621693,true
UNKNOWN,1646931810941,1646931810942,1646931810942,1646931810942,1646931810942,1646931810942,1646931810942,1646931810943,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931810941,1646931810943,3389732300411651391,true
UNKNOWN,1646931814789,1646931814790,1646931814790,1646931814790,1646931814790,1646931814790,1646931814790,1646931814791,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931814789,1646931814791,1274331056911696158,true
UNKNOWN,1646931811403,1646931811403,1646931811403,1646931811403,1646931811403,1646931811404,1646931811404,1646931811404,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811402,1646931811404,4193385548227560161,true
UNKNOWN,1646931810948,1646931810949,1646931810949,1646931810949,1646931810949,1646931810949,1646931810949,1646931810949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931810948,1646931810949,7741840884290964207,true
UNKNOWN,1646931815203,1646931815204,1646931815204,1646931815204,1646931815204,1646931815204,1646931815204,1646931815205,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815203,1646931815205,313295511868819912,true
UNKNOWN,1646931806873,1646931806874,1646931806874,1646931806874,1646931806874,1646931806874,1646931806874,1646931806874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931806873,1646931806874,2393907414613512189,true
UNKNOWN,1646931815317,1646931815318,1646931815318,1646931815318,1646931815318,1646931815318,1646931815318,1646931815318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815317,1646931815318,6638445367682155016,true
UNKNOWN,1646931830138,1646931830139,1646931830139,1646931830139,1646931830139,1646931830139,1646931830139,1646931830139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830138,1646931830139,443193778452777455,true
UNKNOWN,1646931815364,1646931815364,1646931815364,1646931815365,1646931815365,1646931815365,1646931815365,1646931815365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815364,1646931815365,7250570956000347193,true
